,Inflected_Word,Lemma,Prediction
50,সাম্প্রদায়িকতা,সাম্প্রদায়িকতা,সাম্প্রদায়িকতা
51,সমপদস্হ,সমপদস্হ,সমপদস্হ
52,সতর্কতাটি,সতর্ক,সতর্ক
53,আখমেদ,আখমেদ,আখমেদ
54,জানুয়ারী,জানুয়ারী,জানুয়ারী
55,বিধিনিষেধ,বিধিনিষেধ,বিধিনিষেধ
56,ডীজেই,ডীজ,ডীজে
57,আব্দেলরহমান,আব্দেলরহমান,আব্দেলরহমান
58,মন্ত্রনালয়েরর,মন্ত্রনালয়,মন্ত্রনালয়
59,লোভার্তভাবে,লোভার্ত,লোভার্ত
60,ডাস্কালাকি,ডাস্কালাকি,ডাস্কালাকি
61,রৌগকে,রৌগ,রৌগ
62,প্রত্নতত্ত্ববিদদের,প্রত্নতত্ত্ববিদ,প্রত্নতত্ত্ববিদ
63,উরানের,উরান,উরান
64,মধুরস্বভাব,মধুরস্বভাব,মধুরস্বভাব
65,রাজিব,রাজিব,রাজিব
66,লেজিসলেটিভ,লেজিসলেটিভ,লেজিসলেটিভ
67,খননকাজে,খননকাজ,খননকাজ
68,শুয়েন্ডিয়ার,শুয়েন্ডিয়া,শুয়েন্ডিয়া
69,সত্যকারের,সত্যকার,সত্যকার
70,শাসনকর্তাতাদের,শাসনকর্তাতা,শাসনকর্তাতা
71,দ্যাহোয়াইটহাউস,দ্যাহোয়াইটহাউস,দ্যাহোয়াইটহাউস
72,ছাড়পত্রের,ছাড়পত্র,ছাড়পত্র
73,অংকত্রয়ের,অংক,অংক
74,দীপের,দীপ,দীপ
75,ইসামারে,ইসামার,ইসামার
76,চিত্রটির,চিত্র,চিত্র
77,চরিত্রগুলো,চরিত্র,চরিত্র
78,বায়োজিওগ্রাফি,বায়োজিওগ্রাফি,বায়োজিওগ্রাফি
79,যমুনানগর,যমুনানগর,যমুনানগর
80,জলপথ,জলপথ,জলপথ
81,সুবাহের,সুবাহ,সুবাহ
82,বৈশিষ্ট,বৈশিষ্ট,বৈশিষ্ট
83,আমিআশাকরিআপনিআমার,আমি,আমিআশাকরিআপনি
84,পাটকল,পাটকল,পাটকল
85,গ্রামগুলি,গ্রাম,গ্রাম
86,প্রশাসনকে,প্রশাসন,প্রশাসন
87,আরামগড়ে,আরামগড়,আরামগড়
88,হিন্দুত্ববাদী,হিন্দুত্ববাদ,হিন্দুত্ববাদ
89,দূষন,দূষন,দূষন
90,ওছেঠ,ওছেঠ,ওছেঠ
91,সংস্থাগুলোর,সংস্থা,সংস্থা
92,মূদ্রণ,মূদ্রণ,মূদ্রণ
93,মন্দিরফলকের,মন্দির,মন্দিরফলক
94,মেনোপজ,মেনোপজ,মেনোপজ
95,তত্ত্ববিদরাও,তত্ত্ববিদ,তত্ত্ববিদ
96,খালপাড়ের,খালপাড়,খালপাড়
97,মাঠগুলোর,মাঠ,মাঠ
98,উত্তরাঞ্চলকে,উত্তরাঞ্চল,উত্তরাঞ্চল
99,ক্রেস্টিয়ান,ক্রেস্টিয়ান,ক্রেস্টিয়ান
100,কৃষ্নমাচারী,কৃষ্নমাচারী,কৃষ্নমাচারী
101,আরবসহ,আরব,আরব
102,রিফ্লেকশনের,রিফ্লেকশন,রিফ্লেকশন
103,ছাগটি,ছাগ,ছাগ
104,আমাডেয়ুস,আমাডেয়ুস,আমাডেয়ুস
105,বেলকুচিতে,বেলকুচি,বেলকুচি
106,লাঙুর,লাঙু,লাঙু
107,এনেছিল,আনা,আনা
108,নিম্নরুপ,নিম্ন,নিম্ন
109,প্রত্যায়নসহ,প্রত্যায়নসহ,প্রত্যায়নসহ
110,গরুতেই,গরু,গরু
111,নকশাবহুল,নকশা,নকশা
112,মরোক্কোর,মরোক্কো,মরোক্কো
113,সহিংসতা,সহিংস,সহিংসতা
114,চলচ্চিত্রকারের,চলচ্চিত্রকার,চলচ্চিত্রকার
115,বিশেষতঃ,বিশেষ,বিশেষত
116,অফলাইনে,অফলাইন,অফলাইন
117,আন্তঃদক্ষিণএশীয়,আন্তঃদক্ষিণএশীয়,আন্তঃদক্ষিণএশীয়
118,শৈশবটা,শৈশব,শৈশব
119,কাহিনীসম্বলিত,কাহিনীসম্বলিত,কাহিনীসম্বলিত
120,জ্ঞাত,জ্ঞাত,জ্ঞাত
121,গ্রেগরের,গ্রেগর,গ্রেগর
122,আইপিআরসি,আইপিআরসি,আইপিআরসি
123,আদায়কারীতে,আদায়কারী,আদায়কারী
124,গ্রানিটস্কি,গ্রানিটস্কি,গ্রানিটস্কি
125,এছাড়াও,এছাড়া,এছাড়া
126,উঠাইব,ওঠা,উঠা
127,ওয়ার্কস্টেশন,ওয়ার্কস্টেশন,ওয়ার্কস্টেশন
128,পিতৃপুরুষগণ,পিতৃপুরুষ,পিতৃপুরুষ
129,পাগলাগারদের,পাগল,পাগলাগার
130,অক্টোপাসদের,অক্টোপাস,অক্টোপাস
131,পুরুষাঙ্গ,পুরুষাঙ্গ,পুরুষাঙ্গ
132,রামপালও,রামপাল,রামপাল
133,সচিবগণ,সচিব,সচিব
134,প্রবৃদ্ধিতে,প্রবৃদ্ধি,প্রবৃদ্ধি
135,ক্রিয়াশক্তিলোপ,ক্রিয়াশক্তিলোপ,ক্রিয়াশক্তিলোপ
136,ডেকামিটার,ডেকামিটার,ডেকামিটার
137,টোকপোদোনসি,টোকপোদোনসি,টোকপোদোনসি
138,যুগোপোযোগীকরণের,যুগোপোযোগীকরণ,যুগোপোযোগীকরণ
139,মালডেনকে,মালডেন,মালডেন
140,নির্দেশনাটা,নির্দেশনা,নির্দেশনা
141,ইনস্টার,ইনস্টার,ইনস্টার
142,কিরক্লিস,কিরক্লিস,কিরক্লিস
143,নির্দশন,নির্দশন,নির্দশন
144,রক্তক্ষরন,রক্তক্ষরন,রক্তক্ষরন
145,ওগুলা,ও,ও
146,টেক,টেক,টেক
147,পর্যালোচনার,পর্যালোচনা,পর্যালোচনা
148,আহমাদিবাইবাই,আহমাদিবাইবা,আহমাদিবাইবা
149,সুকুনে,সুকুন,সুকুন
150,চারাকোয়াইয়া,চারাকোয়াই,চারাকোয়াই
151,স্তরদুটির,স্তরদুটি,স্তরদুটি
152,বেটাকে,বেটা,বেটা
153,একষট্টিতম,একষট্টিতম,একষট্টিতম
154,সংকীর্ণ,সংকীর্ণ,সংকীর্ণ
155,অশ্বশক্তির,অশ্বশক্তি,অশ্বশক্তি
156,আযহার,আযহা,আযহা
157,সোফি,সোফি,সোফি
158,পাইয়াছে,পাওয়া,পাওয়া
159,কফিনটিও,কফিন,কফিন
160,যান্ত্রিক,যন্ত্র,যন্ত্র
161,মলয়ের,মলয়,মলয়
162,ওরাজ,ওরাজ,ওরাজ
163,ফর্সের,ফর্স,ফর্স
164,উদয়শঙ্করের,উদয়শঙ্কর,উদয়শঙ্কর
165,নির্বোধ,নির্বোধ,নির্বোধ
166,ক্যাপচারে,ক্যাপচার,ক্যাপচার
167,বদভ্যাস,বদভ্যাস,বদভ্যাস
168,পুরগাতরীর,পুরগাতরী,পুরগাতরী
169,উন্নয়নেও,উন্নয়ন,উন্নয়ন
170,মরকেল,মরকেল,মরকেল
171,নওয়াব,নওয়াব,নওয়াব
172,পারদর্শীগণ,পারদর্শী,পারদর্শী
173,ফোর্স,ফোর্স,ফোর্স
174,মুজিবকে,মুজিব,মুজিব
175,প্রধানমন্ত্রীও,প্রধানমন্ত্রী,প্রধানমন্ত্রী
176,এমনারফেজহমের,এমনারফেজহম,এমনারফেজহম
177,বিবেচিত,বিবেচিত,বিবেচিত
178,প্রভূত্বব্যঞ্জক,প্রভূত্বব্যঞ্জ,প্রভূত্ব
179,করতেছো,করা,করা
180,আগলিয়ে,আগলানো,আগলানো
181,অবাধ্যরা,অবাধ্য,অবাধ্য
182,জাদুক্রিয়ার,জাদুক্রিয়া,জাদুক্রিয়া
183,রেনো,রেনো,রেনো
184,সাংহাইসহ,সাংহাই,সাংহাই
185,মুশাহেরদের,মুশাহের,মুশাহের
186,আচারব্যবহার,আচারব্যবহার,আচারব্যবহার
187,হর্ষবর্ধনের,হর্ষবর্ধন,হর্ষবর্ধন
188,মার্টিনয়ের,মার্টিনয়,মার্টিনয়
189,প্রাচীনবর্গের,প্রাচীনবর্গ,প্রাচীনবর্গ
190,দুর্গম,দুর্গম,দুর্গম
191,প্রচেষ্টাগুলোও,প্রচেষ্টা,প্রচেষ্টা
192,জ্যোতিষপুর,জ্যোতিষপুর,জ্যোতিষপুর
193,আয়েনপুর,আয়েনপুর,আয়েনপুর
194,জানিনা,জানা,জানা
195,ইগনাসিম্মালকে,ইগনাসিম্মাল,ইগনাসিম্মাল
196,বেঁট,বাঁটা,বাঁটা
197,আজগুবি,আজগুবি,আজগুবি
198,পান্তার,পান্তা,পান্তা
199,ফিলিপাইনে,ফিলিপাইন,ফিলিপাইন
200,সমন্বয়কৃত,সমন্বয়,সমন্বয়
201,দয়াগঞ্জ,দয়াগঞ্জ,দয়াগঞ্জ
202,যাওয়াতেই,যাওয়া,যাওয়া
203,ইউএসি,ইউএসি,ইউএসি
204,শাবলখানা,শাবল,শাবলখানা
205,অ্যাটর্নি,অ্যাটর্নি,অ্যাটর্নি
206,প্রতিভাবান,প্রতিভা,প্রতিভা
207,জুতাহীন,জুতাহীন,জুতাহীন
208,দুরবস্থা,দুরবস্থা,দুরবস্থা
209,ত্রিপলির,ত্রিপলি,ত্রিপলি
210,চর্যা,চর্যা,চর্যা
211,ক্ষুধার্ত,ক্ষুধা,ক্ষুধার্ত
212,ইলিম্যান,ইলিম্যান,ইলিম্যান
213,ফ্রান্স,ফ্রান্স,ফ্রান্স
214,শুধরাতে,শুধরান,শুধরান
215,জ্যাগিয়েলনকে,জ্যাগিয়েলন,জ্যাগিয়েলন
216,ডিএনসি,ডিএনসি,ডিএনসি
217,ওমনিয়াআলদেসুকি,ওমনিয়াআলদেসুকি,ওমনিয়াআলদেসুকি
218,প্ল্যান্টের,প্ল্যান্ট,প্ল্যান্ট
219,রিয়েল,রিয়েল,রিয়েল
220,আদ্দিসফোকাস,আদ্দিসফোকাস,আদ্দিসফোকাস
221,সুবেদী,সুবেদী,সুবেদী
222,বালটাজার,বালটাজার,বালটাজার
223,দৌড়িতেছি,দৌড়,দৌড়
224,থিয়েটারর্স,থিয়েটারর্স,থিয়েটারর্স
225,ইউবিকুটিন,ইউবিকুটিন,ইউবিকুটিন
226,সমাপ্তির,সমাপ্ত,সমাপ্তি
227,চপলতাসুলভ,চপলতা,চপলতা
228,মায়াবিদ্যায়,মায়াবিদ্যা,মায়াবিদ্যা
229,গুনিতক,গুনিতক,গুনিতক
230,গোনিয়ানা,গোনিয়ান,গোনিয়ানা
231,স্মার্তসম্প্রদায়,স্মার্তসম্প্রদায়,স্মার্তসম্প্রদায়
232,বীমাচুক্তিসমূহের,বীমাচুক্তি,বীমাচুক্তি
233,কৃত্যাচার,কৃত্যাচার,কৃত্যাচার
234,বদমাইসদের,বদমাইস,বদমাইস
235,সমকালীন,সমকাল,সমকাল
236,এঞ্জেলের,এঞ্জেল,এঞ্জেল
237,দাম্ভিক,দাম্ভিক,দাম্ভিক
238,এমি,এমি,এমি
239,অর্ধশতাব্দীকালব্যাপী,অর্ধশতাব্দী,অর্ধশতাব্দী
240,কমপেক্স,কমপেক্স,কমপেক্স
241,মিছিলটির,মিছিল,মিছিল
242,আয়নাগুলো,আয়না,আয়না
243,ফ্লাইওভার,ফ্লাইওভার,ফ্লাইওভার
244,গুণ্য,গুণ্য,গুণ্য
245,সেমিস্টার,সেমিস্টার,সেমিস্টার
246,উপরোক্ত,উপরোক্ত,উপরোক্ত
247,চিহ্নধারী,চিহ্নধারী,চিহ্নধারী
248,অলিম্পিক,অলিম্পিক,অলিম্পিক
249,নোলার,নোলা,নোলা
250,ছোবলের,ছোবল,ছোবল
251,মানুষটার,মানুষ,মানুষ
252,আকারমাত্রিক,আকার,আকার
253,সাধনের,সাধন,সাধন
254,হেললেটিকা,হেললেটিকা,হেললেটিকা
255,ট্যাক্সিটা,ট্যাক্সি,ট্যাক্সি
256,কথপকথনকে,কথপকথন,কথপকথন
257,ইন্টারেস্টের,ইন্টারেস্ট,ইন্টারেস্ট
258,মূর্ছাপ্রাপ্ত,মূর্ছাপ্রাপ্ত,মূর্ছাপ্রাপ্ত
259,ক্লিপগুলোকে,ক্লিপ,ক্লিপ
260,কাব্যসংকলন,কাব্য-সংকলন,কাব্যসংকলন
261,ব্রায়ান্টের,ব্রায়ান্ট,ব্রায়ান্ট
262,ফিডার,ফিডার,ফিডার
263,প্রাণিজগতে,প্রাণিজগত,প্রাণিজগত
264,সম্পাদকের,সম্পাদক,সম্পাদক
265,অংশীদারিত্বগুলো,অংশীদারিত্ব,অংশীদারিত্ব
266,হরিশংকর,হরিশংকর,হরিশংকর
267,যোগানদাতা,যোগান,যোগানদাতা
268,লঘুমস্তিষ্ক,লঘুমস্তিষ্ক,লঘুমস্তিষ্ক
269,দাঁড়িয়ে,দাঁড়ানো,দাঁড়ানো
270,ফ্লাইং,ফ্লাইং,ফ্লাইং
271,ইনস্টিটউট,ইনস্টিটউট,ইনস্টিটউট
272,বিচারটি,বিচার,বিচার
273,শ্বেতকণিকাপূর্ণ,শ্বেতকণিকাপূর্ণ,শ্বেতকণিকাপূর্ণ
274,অন্তর্ভুক্তগুলি,অন্তর্ভুক্ত,অন্তর্ভুক্ত
275,চেকপোষ্টগুলোতে,চেকপোষ্ট,চেকপোষ্ট
276,এদিন,এদিন,এদিন
277,সায়োনেট,সায়োনেট,সায়োনেট
278,অতিষ্ঠ,অতিষ্ঠ,অতিষ্ঠ
279,ডিরেক্টিং,ডিরেক্টিং,ডিরেক্টিং
280,দারিদ্র্যকে,দারিদ্র্য,দারিদ্র্য
281,সিনজো,সিনজো,সিনজো
282,জয়যুক্ত,জয়,জয়যুক্ত
283,শ্ল্যানিং,শ্ল্যানিং,শ্ল্যানিং
284,প্রকট,প্রকট,প্রকট
285,অষ্টম,অষ্টম,অষ্টম
286,আলেপ্পোদের,আলেপ্পো,আলেপ্পো
287,চিনােন,চিনােন,চিনােন
288,সুতনু,সুতনু,সুতনু
289,বকুনি,বকুনি,বকুনি
290,সম্পাদনার,সম্পাদনা,সম্পাদনা
291,বর্ণসমূহ,বর্ণ,বর্ণ
292,লোকালয়গুলির,লোকালয়,লোকালয়
293,ধরেছেনঃ,ধরা,ধরা
294,ইউজারদের,ইউজার,ইউজার
295,বান্ধবী,বান্ধবী,বান্ধবী
296,ওমিদিয়ারের,ওমিদিয়ার,ওমিদিয়ার
297,সঞ্চরমাণ,সঞ্চর,সঞ্চরমাণ
298,সৎভাইয়েরা,সৎভাই,সৎভাই
299,ভাসিজা,ভাসিজা,ভাসিজা
300,কালুকে,কালু,কালু
301,অভিপ্রকাশ,অভিপ্রকাশ,অভিপ্রকাশ
302,পিএসসি,পিএসসি,পিএসসি
303,হয়রানীর,হয়রানী,হয়রানী
304,মিখায়েল,মিখায়েল,মিখায়েল
305,মানিয়ে,মানানো,মানানো
306,তেরেসা,তেরেসা,তেরেসা
307,পাইবানা,পাওয়ানা,পাওয়ানা
308,ধর্মপাল,ধর্মপাল,ধর্মপাল
309,যবক্ষারজানঘটিত,যবক্ষার,যবক্ষারজান
310,এয়ারওয়েজের,এয়ারওয়েজ,এয়ারওয়েজ
311,যৌবনোচিত,যৌবন,যৌবন
312,নোফিউচারফেইস,নোফিউচারফেইস,নোফিউচারফেইস
313,রাইসাকি,রাইসাকি,রাইসাকি
314,ইকলাল,ইকলাল,ইকলাল
315,প্রতিস্থাপিত,প্রতিস্থাপিত,প্রতিস্থাপন
316,মানবাধিকার,মানবাধিকার,মানবাধিকার
317,প্রাচীনই,প্রাচীন,প্রাচীন
318,হস্তক্ষেপবাদের,হস্তক্ষেপবাদ,হস্তক্ষেপবাদ
319,সংস্থাগুলোকেও,সংস্থা,সংস্থা
320,রোগগ্রস্ত,রোগগ্রস্ত,রোগগ্রস্ত
321,ইকুয়েডোরিয়ান,ইকুয়েডোরিয়া,ইকুয়েডোরিয়ান
322,পাহাড়ি,পাহাড়,পাহাড়
323,রক্তধারী,রক্তধার,রক্তধারী
324,অনিযুক্ত,অনিযুক্ত,অনিযুক্ত
325,নিবর্তনের,নিবর্তন,নিবর্তন
326,ক্রিয়াবাদীদের,ক্রিয়াবাদী,ক্রিয়াবাদী
327,ক্রিমার,ক্রিমার,ক্রিমার
328,কামিনো,কামিনো,কামিনো
329,উষ্ণতা,উষ্ণ,উষ্ণ
330,কাঊন্সিলের,কাঊন্সিল,কাঊন্সিল
331,রেবেকাকে,রেবেকা,রেবেকা
332,নীচেরটাসহ,নীচে,নীচে
333,আধ্যাত্মিকভাবে,আধ্যাত্মিক,আধ্যাত্মিক
334,বিশুদ্ধিকরণ,বিশুদ্ধ,বিশুদ্ধ
335,শিঙ্গাধ্বনি,শিঙ্গাধ্বনি,শিঙ্গাধ্বনি
336,প্রণেতা,প্রণেতা,প্রণেতা
337,ওয়াটার,ওয়াটার,ওয়াটার
338,প্রতিবাদকারী,প্রতিবাদ,প্রতিবাদ
339,রহস্যবাদের,রহস্যবাদ,রহস্যবাদ
340,ডংয়ের,ডং,ডং
341,জাতিগোষ্ঠীর,জাতিগোষ্ঠী,জাতিগোষ্ঠী
342,লিউকেমিয়া,লিউকেমিয়া,লিউকেমিয়া
343,স্টোরিঃ,স্টোরি,স্টোরি
344,গহ্বরে,গহ্বর,গহ্বর
345,আকাবুয়েজে,আকাবুয়েজ,আকাবুয়েজ
346,ডিজিটালক্যাস্ট্রো,ডিজিটালক্যাস্ট্রো,ডিজিটালক্যাস্ট্রো
347,মেডুলায়,মেডুলা,মেডুলা
348,কাযীর,কাযী,কাযী
349,সংগীর,সংগী,সংগী
350,প্রকৃতিতে,প্রকৃতি,প্রকৃতি
351,বিশেষ্যটির,বিশেষ্য,বিশেষ্য
352,সৈন্যসমাবেশ,সৈন্য,সৈন্য
353,মূল্যবাদ,মূল্যবাদ,মূল্যবাদ
354,গ্রিপের,গ্রিপ,গ্রিপ
355,বাপ্তিস্মের,বাপ্তিস্ম,বাপ্তিস্ম
356,এয়ারলোক,এয়ারলোক,এয়ারলোক
357,অবন্তীর,অবন্তী,অবন্তী
358,এয়ারওয়েজ,এয়ারওয়েজ,এয়ারওয়েজ
359,মন্ত্রিপরিষদের,মন্ত্রিপরিষদ,মন্ত্রিপরিষদ
360,ব্রাহ্মণ,ব্রাহ্মণ,ব্রাহ্মণ
361,স্বীকৃতিসরূপ,স্বীকৃতিসরূপ,স্বীকৃতিসরূপ
362,ষ্টেষনে,ষ্টেষন,ষ্টেষন
363,যিহিষ্কেলও,যিহিষ্কেল,যিহিষ্কেল
364,অবচ্ছেদ,অবচ্ছেদ,অবচ্ছেদ
365,অবর্তীর্ণ,অবর্তীর্ণ,অবর্তীর্ণ
366,ভার্সাসেরও,ভার্সাস,ভার্সাস
367,কাহেকজিহান,কাহেকজিহান,কাহেকজিহান
368,প্রশংসিত,প্রশংসা,প্রশংসা
369,জাতীয়ভাবে,জাতি,জাতীয়
370,গ্যাটিনো,গ্যাটিনো,গ্যাটিনো
371,দৈবদোঘ,দৈবদোঘ,দৈবদোঘ
372,ইমপ্রেশনিস্টদের,ইমপ্রেশনিস্ট,ইমপ্রেশনিস্ট
373,শহুরে,শহর,শহর
374,বৃৃদ্ধির,বৃৃদ্ধি,বৃৃদ্ধি
375,অসীমতায়,অসীমতা,অসীমতা
376,ডুবোজাহাজ,ডুবোজাহাজ,ডুবোজাহাজ
377,সিকানদার,সিকানদার,সিকানদার
378,ধর্মাবলম্বী,ধর্মাবলম্বী,ধর্মাবলম্বী
379,ব্রাগে,ব্রাগ,ব্রাগ
380,উদ্যোগী,উদ্যোগ,উদ্যোগ
381,মতান্তরে,মতান্তর,মতান্তর
382,পাটনি,পাটনি,পাটনি
383,পুনরাবিষ্কার,পুনরাবিষ্কার,পুনরাবিষ্কার
384,মাধূর্যপূর্ণ,মাধূর্য,মাধূর্য
385,একুশতম,একুশ,একুশতম
386,সংখক,সংখক,সংখক
387,দণ্ডে,দণ্ড,দণ্ড
388,চুলওয়ালীকে,চুলওয়ালী,চুলওয়ালী
389,কগনিজেন্ট,কগনিজেন্ট,কগনিজেন্ট
390,পাওনা,পাওয়া,পাওয়া
391,হিজরি,হিজরি,হিজরি
392,সৌধে,সৌধ,সৌধ
393,প্রস্তরফলকই,প্রস্তরফলক,প্রস্তরফলক
394,আখ্যাপ্রাপ্ত,আখ্যাপ্রাপ্ত,আখ্যাপ্রাপ্ত
395,জিমেল,জিমেল,জিমেল
396,পন্যে,পন্য,পন্য
397,সংখ্যালঘুদেরকে,সংখ্যালঘু,সংখ্যালঘু
398,প্রজননও,প্রজনন,প্রজনন
399,চালিযে,চালানো,চালানো
400,নোটেশন,নোটেশন,নোটেশন
401,বিয়াম,বিয়াম,বিয়াম
402,ইমাম,ইমাম,ইমাম
403,বৃদ্ধিসহ,বৃদ্ধি,বৃদ্ধিসহ
404,পারাটা,পারা,পারা
405,ভাঁজটির,ভাঁজ,ভাঁজ
406,সম্প্রদায়কেই,সম্প্রদায়,সম্প্রদায়
407,আঁতুড়,আঁতুড়,আঁতুড়
408,স্যাটক্লিফ,স্যাটক্লিফ,স্যাটক্লিফ
409,সাহিত্যিকেরা,সাহিত্যিক,সাহিত্যিক
410,মাজোরকা,মাজোরকা,মাজোরকা
411,গুগুইনকে,গুগুইন,গুগুইন
412,কর্মানুরাগী,কর্মানুরাগ,কর্মানুরাগ
413,অভিযাত্রীটির,অভিযাত্রী,অভিযাত্রী
414,মধ্যভাগের,মধ্যভাগ,মধ্যভাগ
415,সনিলেবাইদাবে,সনিলেবাইদাব,সনিলেবাইদাব
416,গুতেরেসের,গুতেরেস,গুতেরেস
417,পুরস্কারসহ,পুরস্কার,পুরস্কার
418,কনফার্মেশনের,কনফার্মেশন,কনফার্মেশন
419,বাণিজ্যিকীকরণে,বাণিজ্য,বাণিজ্য
420,কুসংস্কারসহ,কুসংস্কার,কুসংস্কার
421,লিঙ্গবাদে,লিঙ্গবাদ,লিঙ্গবাদ
422,অ্যান্তোনভ,অ্যান্তিন,অ্যান্তোনভ
423,লালাখালে,লালাখাল,লালাখাল
424,মারকুইসপত্নী,মারকুইসপত্নী,মারকুইসপত্নী
425,এ্যাফিডেভিটের,এ্যাফিডেভিট,এ্যাফিডেভিট
426,পাল্টা,পাল্টা,পাল্টা
427,লুঠপাটও,লুঠপাট,লুঠপাট
428,আবেগনির্ঝর,আবেগনির্ঝর,আবেগনির্ঝর
429,ঘাঘটের,ঘাঘট,ঘাঘট
430,বাউজার,বাউজার,বাউজার
431,মন্ত্রীপরিষদ,মন্ত্রীপরিষদ,মন্ত্রীপরিষদ
432,গানবাজনাগুলোতে,গানবাজনা,গানবাজনা
433,জেটির,জেটি,জেটি
434,উত্তরপ্রান্তে,উত্তরপ্রান্ত,উত্তরপ্রান্ত
435,আলেকসান্দার,আলেকসান্দার,আলেকসান্দার
436,কবরফলক,কবর,কবরফলক
437,স্তালিনের,স্তালিন,স্তালিন
438,ভৌমজলের,ভৌমজল,ভৌমজল
439,রামানাদান,রামানাদান,রামানাদান
440,জয়োর,জয়োর,জয়ো
441,ইজারাধীন,ইজারা,ইজারা
442,ইগনাইটার,ইগনাইটার,ইগনাইটার
443,অর্দনেজ,অর্দন,অর্দন
444,সংশোধনমূলক,সংশোধন,সংশোধনমূলক
445,ক্যান্টেবিউরির,ক্যান্টেবিউরি,ক্যান্টেবিউরি
446,লেনয়াড্রিতে,লেনয়াড্রি,লেনয়াড্রি
447,কম্বোডিয়ান,কম্বোডিয়ান,কম্বোডিয়ান
448,টার্মিনালে,টার্মিনাল,টার্মিনাল
449,আব্রাজি,আব্রাজি,আব্রাজি
450,আরবানাতে,আরবানা,আরবানা
451,জড়িত,জড়ানো,জড়ানো
452,নর্দমাস্থাপক,নর্দমাস্থাপক,নর্দমাস্থাপক
453,এরিস্টোটেলাইজার,এরিস্টোটেলাইজ,এরিস্টোটেলাইজ
454,পড়ছো,পড়া,পড়া
455,সুরক্ষিত,সুরক্ষা,সুরক্ষা
456,প্রোমোটাররা,প্রোমোটার,প্রোমোটার
457,খন্দকারের,খন্দকার,খন্দকার
458,গেমপ্লে,গেমপ্লে,গেমপ্লে
459,নিউ,নিউ,নিউ
460,উপাদানঘটিত,উপাদান,উপাদান
461,পল্লীগায়ক,পল্লীগায়ক,পল্লীগায়ক
462,সভাগুলিতে,সভা,সভা
463,চীনাংশুক,চীনাংশুক,চীনাংশুক
464,কাঁদেনাঃ,কাঁদেনা,কাঁদেনা
465,বোখারি,বোখারি,বোখারি
466,লক্ষাধিক,লক্ষাধিক,লক্ষাধিক
467,সংঙ্গানুসারে,সংঙ্গানুসার,সংঙ্গানুসার
468,ক্লাচটা,ক্লাচ,ক্লাচ
