,y,y_pred
74,সংঘর্ষ,সংঘর্ষ
75,কাস্তে,কাস্তে
76,অভিলাষ,অভিলাষ
77,আখড়া,আখড়া
78,নামা,নামি
79,ধ্বংস,ধ্বংস
80,ধর্মান্তরিত,ধর্মান্তরিত
81,কফিন,কফিন
82,কলঙ্ক,কলঙ্ক
83,জাহাজ,জাহাজ
84,হেয়ার,হেয়া
85,গণপরিষদ,গণপরিষদ
86,মন,মন
87,ধোপ,ধোপ
88,দুল,দুল
89,অনুপাত,অনুপাত
90,রাখা,রাখা
91,যথা,যথা
92,অনাবৃষ্টি,অনাবৃষ্টি
93,পরদিন,পরদিন
94,ঝোলানো,ঝুলা
95,অনিষ্ট,অনিষ্ট
96,কানাচ,কানাচ
97,ফাজিল,ফাজিল
98,পাওয়া,পাওয়া
99,রাজকুমারী,রাজকুমারী
100,অনুশীলন,অনুশীলন
101,ঠিকাদার,ঠিকাদার
102,কর্মপদ্ধতি,কর্মপদ্ধতি
103,অনুরূপ,অনুরূপ
104,সহযোগ,সহযোগ
105,উত্তরী,উত্তরী
106,স্নেহ,স্নেহ
107,অধ্যাদেশ,অধ্যাদেশ
108,পুষ্টকলেবর,পুষ্টকলেবর
109,শান্ত,শান্ত
110,অকাল,অকাল
111,হেড,হেড
112,নমুনা,নমুনা
113,ইতি,ইতি
114,কাটা,কাটা
115,ক্ষেত্র,ক্ষেত্র
116,উত্পত্তি,উত্পত্তি
117,ঠিকানা,ঠিকানা
118,অগ্রসর,অগ্রসরণ
119,দ্বার,দ্বার
120,অয়ন,অয়ন
121,নেওয়া,নেওয়া
122,অপূর্ব,অপূর্ব
123,কপাল,কপাল
124,অবতার,অবতার
125,পরিমাপ,পরিমাপ
126,অভিজাত,অভিজাত
127,রওয়া,রওয়া
128,ইত্যাদি,ইত্যাদি
129,শিক্ষার্থী,শিক্ষার্থী
130,তুরস্ক,তুরস্ক
131,পতঙ্গ,পতঙ্গ
132,জানাজা,জানাজা
133,কাচা,কাচা
134,কর্তব্য,কর্তব্য
135,পাট,পাট
136,অপচয়,অপচয়
137,গরু,গরু
138,অবিশ্বাস,অবিশ্বাস
139,ধাতু,ধাতু
140,একই,একইসঙ্গ
141,হেলানো,হেলানো
142,খোলসা,খোলসা
143,ইন্ডিয়া,ইন্ডিয়া
144,বিষয়,বিষয়
145,তাগাদা,তাগাদা
146,সংক্রান্তি,সংক্রান্ত
147,গঞ্জনা,গঞ্জনা
148,ধর্ষক,ধর্ষক
149,ঠেকানো,ঠেকানো
150,বিকাল,বিকাল
151,বলা,বলা
152,অর্ধচন্দ্র,অর্ধচন্দ্র
153,টেলিভিশন,টেলিভিশন
154,উত্তেজিত,উত্তেজিত
155,জগৎ,জগত
156,বন্টন,বন্টন
157,লিচু,লিচু
158,উত্থান,উত্থান
159,রকম,রকম
160,দশমিক,দশমিক
161,তুষার,তুষার
162,দেখা,দেখা
163,আঁতুড়ঘর,আঁতুড়ঘর
164,অধিপতি,অধিপতি
165,অভয়া,অভয়া
166,খাতা,খাতা
167,গামলা,গামলা
168,বিহার,বিহার
169,অন্তরঙ্গ,অন্তরঙ্গ
170,আদালত,আদালত
171,বাছা,বেছন
172,কাদম্ব,কাদম্বা
173,বাধা,বাধা
174,পাপ,পাপ
175,প্রাথমিক,প্রাথমিক
176,প্রহার,প্রহার
177,সুরাপান,সুরাপান
178,লাহোর,লাহোরি
179,ত্রুটি,ত্রুটিহীন
180,ঘুলা,ঘুলা
181,মহিলা,মহিলা
182,কর্তা,কর্তা
183,সন্ন্যাসী,সন্ন্যাস
184,নলিন,নলিন
185,ভয়,ভয়
186,পাপ,পাপ
187,পরিবহণ,পরিবহণ
188,বাঘ,বাঘ
189,খলিফা,খলিফা
190,যম,যম
191,একতলা,একতলা
192,অক্ষর,অক্ষর
193,অনুষদ,অনুষদ
194,ওষুধ,ওষুধ
195,জোড়া,জোড়া
196,একটি,একটি
197,কোন,কোনও
198,জুলুম,জুলুম
199,মদিনা,মদিনা
200,পুত্রস্থান,পুত্রস্থান
201,অপ্রত্যক্ষ,অপ্রত্যক্ষ
202,অপুষ্টি,অপুষ্টি
203,অনুপাত,অনুপাত
204,অনিশ্চয়তা,অনিশ্চয়তা
205,বাধা,বাধা
206,উপলক্ষ,উদযাপন
207,ক্ষত,ক্ষত
208,অতুল,অতুল
209,পল্লি,পল্লি
210,ডায়মন্ড,ডায়মন্ড
211,অনিশ্চয়তা,অনিশ্চয়তা
212,বৃদ্ধি,বৃদ্ধি
213,মূল,মূল
214,অন্তর্ভুক্তি,অন্তর্ভুক্তি
215,হঠাৎ,হঠাৎ
216,করা,করা
217,বলা,বলা
218,অম্ল,অম্লজানসার
219,অধিক্ষেত্র,অধিক্ষেত্র
220,খাম,খাম
221,রং,রং
222,দাঁড়ানো,দাঁড়ানো
223,ছাপ,ছাপা
224,আংটি,আংটি
225,চাকু,চাকু
226,ক্ষুধা,ক্ষুধা
227,কাটা,কাটা
228,ছবি,ছবি
229,নাতি,নাতি
230,অধ্যক্ষ,অধ্যক্ষ
231,পাশ,পাশ
232,মাদক,মাদক
233,একচেটিয়া,একচেটিয়া
234,আলগা,আলগার
235,শোনা,শোনা
236,এক,একাকিনী
237,অপভ্রংশ,অপভ্রংশ
238,অদক্ষ,অদক্ষ
239,এখতিয়ার,এখতিয়ার
240,অনিশ্চিত,অনিশ্চিত
241,কচুরিপানা,কচুরিপানা
242,পিছন,পিছন
243,অনবরত,অনবর
244,আলোচনা,আলোচনা
245,আখ,আখচাষি
246,জাল,জাল
247,যন্ত্রশিল্পী,যন্ত্রশিল্পী
248,ক্ষুধাতুর,ক্ষুধা
249,কাটা,কাটা
250,জতুক,জতুক
251,অস্তমিত,অস্তম
252,অংক,অংক
253,খিলান,খিলান
254,বিনোদা,বিনোদা
255,গুরুদয়াল,গুরুদয়া
256,ভিজা,ভিজা
257,মশা,মশা
258,চোর,চোর
259,দাগ,ভাগ
260,বাক্য,বাক্য
261,নাপিত,নাপিত
262,অনেক,অনেক
263,ঠিকা,ঠিকা
264,হৃদয়,হৃদয়
265,ধাগা,ধাগার
266,আয়তন,আয়তন
267,লেবু,লেবু
268,গড়া,গড়া
269,অধিগ্রহণ,অধিগ্রহণ
270,নান্দু,নান্দু
271,শয়ন,শয়ন
272,উপকেন্দ্র,উপকেন্দ্র
273,অবমাননা,অবমাননা
274,বামাকণ্ঠ,বামাকণ্ঠ
275,উদীচী,উদীচী
276,উদ্বেগ,উদ্বেগ
277,অল্প,অল্প
278,পড়াশুনা,পড়া
279,পাওয়া,পাওয়া
280,কাষ্ঠ,কাষ্ঠ
281,২৬শে,২৬শে
282,উদ্ধার,উদ্ধার
283,চত্বর,চত্বর
284,অতি,অতি
285,আলোক,আলোক
286,মহাজন,মহাজন
287,অবশ্য,আবশ্যিক
288,কাসুন্দি,কাসুন্দি
289,পলানো,পলানো
290,হৃৎপিণ্ড,হৃৎপিণ্ড
291,অগ্রগমন,অগ্রগমন
292,আড়ি,আড়ি
293,শালি,শালি
294,লুটা,লুটোনো
295,বন,বন
296,শ্রান্ত,শ্রান্ত
297,ঘটা,ঘটা
298,দেখা,দেখা
299,অভাব,অভাব
300,চাদর,চাদর
301,গতানুগতিক,গতানুগতিক
302,সমাজ,সমাজ
303,কাচা,কাচা
304,ছলছলনেত্র,ছলছলনেত্র
305,বিপিন,বিপিন
306,দৌড়,দৌড়
307,স্বল্পভাষা,স্বল্পভাষা
308,গিন্নী,গিন্নী
309,বড়াল,বড়াল
310,অভেদ,অভেদ
311,অন্য,অন্য
312,কলাকৌশল,কলাকৌশল
313,ঠিকানা,ঠিকানা
314,কামড়,কামড়
315,লেখা,লেখা
316,একজন,একজন
317,পোড়ানো,পোড়ানো
318,বন্ধু,বন্ধুবান্ধব
319,উন্মাদনা,উন্মাদনা
320,অনুপাত,অনুপ
321,অতীত,অতীত
322,ভুল,ভুল
323,হ্রস্ব,হ্রস্ব
324,কুন্ডলী,কুন্ডলী
325,প্রস্তর,প্রস্তর
326,অপব্যয়,অপব্যয়
327,জিহাদ,জিহা
328,কেরসিন,কেরসিন
329,প্রকৃত,প্রকৃতি
330,ছাঁকনা,ছাঁকনা
331,গম্বুজ,গম্বুজ
332,কেস,কেস
333,উৎকৃষ্ট,উৎকৃষ্ট
334,প্রবর্তনা,প্রবর্তন
335,ছক,ছক
336,ঘুড়ি,ঘুড়ি
337,কবিরাজ,কবিরাজ
338,উপগ্রহ,উপগ্রহ
339,শুভ,শুভ
340,অন্ধ্রপ্রদেশ,অন্ধ্রপ্রদেশ
341,নজর,নজরদার
342,অনশন,অনশন
343,ঘাড়,ঘাড়
344,কামড়,কামড়
345,লেখা,লেখা
346,তুলা,তোলা
347,রিহার্শালশেষ,রিহার্শাল
348,পরিমাণ,পরিমাণ
349,লেশমাত্র,লেশমাত্র
350,সমালোচনা,সমালোচন
351,খনি,খনি
352,খাঁচা,খাঁচা
353,জনতা,জন
354,গাড়ি,গাড়ি
355,আন্দাজ,আন্দাজ
356,খুব,খুব
357,অদৃষ্ট,অদৃষ্ট
358,জোক,জোকক
359,ডাকা,ডাকা
360,সুখবর,সুখবর
361,খোঁচা,খোঁচা
362,বাগদা,বাগদার
363,খাওয়া,খাওয়া
364,ভবিষ্যদ্বাণী,ভবিষ্যদ্বাণী
365,আসর,আসর
366,ঝুলা,ঝুলা
367,আবরণভেদ,আবরণ
368,নেয়া,নেয়া
369,সৌরভ,সৌরভ
370,খেচর,খেচর
371,আখড়া,আখড়া
372,বকুলতল,বকুল
373,আবাহনী,আবাহনী
374,সেবা,সেবা
375,আধ্যাত্মিক,আধ্যাত্মিক
376,ধারাবাহিক,ধারাবাহিক
377,আর্দ্রতা,আর্দ্রতা
378,চামিচ,চামিচ
379,নেওয়া,লন
380,কাচা,কাচা
381,লেখা,লেখা
382,গভীর,গভীর
383,স্রোত,স্রো
384,মহিষ,মহিষ
385,ঐক্য,ঐক্য
386,কিতাব,কিতাব
387,আসামী,আসামী
388,চ্যালেঞ্জ,চ্যালেঞ্জ
389,ঠাকুর,ঠাকুর
390,আন্তর্জাতিক,আন্তর্জাতিক
391,তারা,সে
392,মহিষ,মহিষ
393,মধ্যবয়স্ক,মধ্যবয়স্ক
394,পরিচ্ছেদ,পরিচ্ছেদ
395,তেলেঙ্গানা,তেলেঙ্গানা
396,অঙ্গন,অঙ্গন
397,আসক্ত,আসক্ত
398,মমতা,মমতা
399,করা,করা
400,মূল,মূল
401,ঝকঝক,ঝকঝকে
402,লেখা,লেখা
403,বাধা,বাধা
404,ডানা,ডানা
405,কখন,কখন
406,কমল,কমানো
407,দৈবজ্ঞপণ্ডিত,দৈবজ্ঞ
408,দেওয়া,দেওয়া
409,খাটো,খাটো
410,পাশ,পাশ
411,অমঙ্গল,অমঙ্গল
412,নেওয়া,নেওয়া
413,পড়া,পড়া
414,কারচুপি,কারচুপি
415,যথা,যথা
416,যে,যাহারা
417,আপদ,আপদ
418,টিকা,টিকা
419,হাতানো,হাতানো
420,উত্তরাধিকারী,উত্তরাধিকারী
421,কর্তন,কর্তন
422,জনপ্রিয়,জনপ্রিয়
423,অক্সফোর্ড,অক্সফোর্ডয়ন
424,বৎস,বৎস
425,ঠংঠং,ঠংঠং
426,মজা,মজা
427,দশমিক,দশমিক
428,উগ্রতা,উগ্রতা
429,শকুন,শকুন
430,গতি,গতি
431,চিরুনি,চিরুনি
432,ধূমকেতু,ধূমকেতু
433,অলংকার,অলংকার
434,অনাথ,অনাথ
435,ছড়ানো,ছড়ানো
436,ঘোষণা,ঘোষণা
437,শালি,শালি
438,থাকা,থাকা
439,চরকা,চরকা
440,শীশা,শীশা
441,সবাই,সবাই
442,বৃদ্ধ,বৃদ্ধ
443,নাড়া,নাড়ানো
444,থাকা,থাকা
445,অনীক,অনীক
446,ঠান্ডা,ঠান্ডা
447,আত্মবিকাশ,আত্মবিকাশ
448,শোয়া,শোয়া
449,কাচ,কাচা
450,গুরু,গুরু
451,ভাজা,ভাজা
452,কাছিম,কাছিম
453,বৈদ্যনাথ,বৈদ্যনাথ
454,আমন্ত্রণ,আমন্ত্রণ
455,কাটা,কাটা
456,ভূমি,ভূমি
457,অমীমাংসা,অমীমাংসা
458,তোলা,তোলা
459,দেখা,দেখা
460,সোঝা,সুঝানো
461,ইঞ্চি,ইঞ্চি
462,অনুন্নত,অনুন্নত
463,ধাগা,ধাগা
464,ছাড়,ছাড়া
465,ভাড়া,ভাড়া
466,গভর্নর,গভর্নর
467,অনুশোচনা,অনুশোচনা
468,শিক্ষার্থী,শিক্ষার্থী
469,আসা,আসা
470,এতিম,এতিম
471,ইহা,ইহা
472,থাকা,থেকে
473,অত্যাবশ্যক,অত্যাবশ্যক
474,ঠান্ডা,ঠান্ডা
475,নগদ,নগদ
476,পলিটিকস,পলিটিকস
477,কমিশনার,কমিশনার
478,পাকা,পাকা
479,উচা,উচা
480,যুগ,যুগ
481,বিনোদন,বিনোদন
482,লেখা,লেখা
483,ইমাম,ইমামতি
484,বিচার,বিচার
485,অনুজীব,অনুজীব্য
486,বসা,বসা
487,ভাজা,ভাজা
488,আইনজীবি,আইনজীবি
489,উপাসন,উপাসন
490,সমস্তদিন,সমস্তদিন
491,অন্যান্য,অন্যান্য
492,পুরুষ,পুরুষ
493,পিতামাতাহীন,পিতৃমাতৃহীন
494,পেয়ালা,পেয়ালা
495,দেখা,দেখা
496,ভোট,ভোট
497,চাঁদ,চাঁদ
498,প্রশাসন,প্রশাসন
499,আনুকূল্য,আনুকূল্য
500,কাকা,কাকা
501,চিড়িয়াখানা,চিড়িয়াখানা
502,জাজিম,জাজিম
503,ঔরস,ঔরস
504,চিতল,চিতল
505,অনুক্রম,অনুক্রম
506,খাত,খাত
507,সরস্বতী,সরস্বতী
508,অব্যাহত,অব্যাহত
509,অপছন্দ,অপছন্দ
510,নীতি,নীতি
511,অনবরত,অনবর
512,প্রতিরোধ,প্রতিরোধ
513,অভিবাদন,অভিবাদন
514,বাতি,বাতি
515,দাঁড়াশ,দাঁড়াশ
516,জায়গা,জায়গা
517,কমলা,কমলা
518,আত্মপ্রকাশ,আত্মপ্রকাশ
519,টুল,টুল
520,জামা,জামা
521,প্রযুক্তি,প্রযুক্তি
522,অতি,অতি
523,উত্পাদন,উত্পাদন
524,উদয়ন,উদয়ন
525,অনুমোদন,অনুমোদন
526,হটকানো,হটকানো
527,চেইন,চেনা
528,ঘুম,ঘুম
529,দরকার,দরকার
530,আরতি,আরতি
531,হোমোজেনাস,হোমোজেনাস
532,পলানো,পালানো
533,চিত্তবিনোদন,চিত্তবিনোদন
534,গলা,গলা
535,ডাহুক,ডাহুক
536,যৌবন,যৌবন
537,চামড়া,চামড়া
538,পেয়ারা,পেয়ারা
539,অধস্তন,অধস্তন
540,মেঘ,মেঘ
541,সেদ্ধ,সেদ্ধ
542,কঠিন,কঠিন
543,প্রাণ,প্রাণ
544,পরিকল্পনা,পরিকল্পনা
545,আশাবাদী,আশাবাদী
546,আভিজাত্য,আভিজাত্য
547,ভোট,ভোট
548,নদীতীর,নদীতীর
549,ঘুম,ঘুম
550,আসা,আসা
551,পাকানো,পাকানো
552,অপমৃত্যু,অপমৃত্যু
553,অনুসন্ধান,অনুসন্ধান
554,খ্যাতি,খ্যাত
555,অপভ্রংশ,অপভ্রংশ
556,আধুনিকা,আধুনিকা
557,অভ্যন্তর,অভ্যন্তর
558,সেরেস্তাদার,সেরেস্তাদার
559,কেনিয়া,কেনা
560,শক্তি,শক্তি
561,পর্ব,পর্ব
562,রিং,রিং
563,পরিহাস,পরিহাস
564,পাঁচজন,পাঁচজন
565,মঞ্চ,মঞ্চ
566,রুদ্ধদ্বার,রুদ্ধদ্বার
567,ভয়,ভীত
568,সওদা,সওদা
569,ঘাম,ঘাম
570,ফাটাকেষ্ট,ফাটাকেষ্ট
571,শকুন,শকুন
572,ঘোরা,ঘোরা
573,নির্দেশ,নির্দেশ
574,কথা,কথা
575,কনে,কনে
576,তাজমহল,তাজমহল
577,বেতার,বেতার
578,অপহরণ,অপহরণ
579,অপারেটর,অপারেটর
580,প্রক্রিয়া,প্রক্রিয়া
581,তর্ক,তর্ক
582,খাদ্যদ্রব্য,খাদ্যদ্রব্য
583,যাওয়া,যাওয়া
584,মালদহ,মালদহ
585,পৌঁছা,পৌঁওনো
586,ইবাদত,ইবাদত
587,ঠেলা,ঠেলা
588,শিম,শিম
589,পাক,পাক
590,উত্সব,উত্সব
591,আকুল,আকুল
592,ছেমড়া,ছেমড়া
593,ভাব,ভাব
594,কাব্য,কাব্য
595,মালিশ,মালিশ
596,অজ্ঞান,অজ্ঞান
597,কম্বল,কম্বল
598,কলস,কলস
599,করোটি,করোটিয়া
600,চাকা,চাকা
601,আকুতি,আক
602,অগ্নি,অগ্নি
603,আশ্রয়প্রার্থী,আশ্রয়প্রার্থী
604,করা,করা
605,কাচা,কাচা
606,আশ্চর্য,আশ্চর্য
607,গয়না,ময়না
608,অক্ষত,অক্ষত
609,সংস্থা,সংস্থান
610,কর্তব্য,কর্তব্য
611,মাথামুণ্ডু,মাথামুণ্ডু
612,শপথপূর্ব,শপথপূর্ব
613,পুত্র,পুত্র
614,চলা,চলা
615,বাইরে,বাইরে
616,অভিভাবক,অভিভাবক
617,সদয়,সদয়
618,অগ্ন্যুত্পাত,অগ্ন্যুত্পাত
619,মরণ,মরা
620,লজ্জা,লজ্জা
621,গণতন্ত্র,গণতন্ত্র
622,রুচি,রুচি
623,একতারা,একতারা
624,অবগাহন,অবগাহন
625,কাটা,কাটা
626,অনুভব,অনুভব
627,অর্জন,অর্জন
628,সাক্ষী,সাক্ষী
629,সমুদ্র,সমুদ্র
630,নিম্নদেশে,নিম্নদেশে
631,কাছিম,কাছ
632,সরা,সরা
633,শখ,শখ
634,নীচ,নীচ
635,অর্ডার,অর্ডার
636,প্রতিমা,প্রতিমা
637,প্রখরবুদ্ধি,প্রখরবুদ্ধি
638,হাঁসা,হাঁসা
639,ঘটক,ঘটকক
640,রেডিও,রেডিও
641,পিছন,পিছন
642,আরাম,আরাম
643,পরিমাণ,পরিমাণ
644,জরুরি,জরুরি
645,ফণিনী,ফণিনী
646,উট,উট
647,শাস্তি,শাস্তি
648,যুবক,যুবক
649,লজ্জানত,লজ্জা
650,বলা,বলা
651,কামড়,কামড়
652,আয়াত,আয়াত
653,তুঙ্গ,তুঙ্গ
654,ধারণ,ধরা
655,রমজান,রমজান
656,অরিন্দম,অরিন্দম
657,মধ্যে,মধ্যে
658,বাসনা,বাসনা
659,বলা,বলা
660,কাটা,কাটা
661,এগোনো,এগোনো
662,তাজমহল,তাজমহল
663,পঞ্চম,পঞ্চম
664,দৌড়,দৌড়
665,বড়,বড়
666,অপ্রাপ্তি,অপ্রাপ্তি
667,উপকূল,উপকূল
668,সংগঠন,সংগঠন
669,রোগী,রোগী
670,রোজা,রোজা
671,প্রচার,প্রচার
672,লকেট,লকেট
673,লতা,লতা
674,মহলে,মহল
675,হ্যাঁ,হ্যাঁ
676,করা,করা
677,দেওয়া,দেওয়া
678,বপন,বপন
679,হাতি,হাতানো
680,না,না
681,দণ্ড,দণ্ড
682,ঘোমটা,ঘোমটা
683,দরজা,দরজা
684,আটক,আটক
685,ডায়রি,ডায়রি
686,চিতাবাঘ,চিতাবাঘ
687,মাছ,মাছ
688,খাওয়া,খাওয়া
689,লড়াই,লড়াই
690,ব্যাপার,ব্যাপার
691,চাল,চাল
692,খেলা,খেলা
693,আলস্যভর,আলস্যভর
694,ক্ষত্রিয়,ক্ষত্রিয়
695,বিলম্ব,বিলম্ব
696,অমৃত,অমৃত
697,চুলকানি,চুলকানি
698,আসক্তি,আসক্তি
699,ঢাকা,ঢাকা
700,বারো,বারো
701,খতম,খতম
702,কাঁদা,কাঁদা
703,পথিক,পথিক
704,বেগম,বেগম
705,সিংহ,সিংহ
706,খয়রাত,খয়রাতিপাড়া
707,ক্ষতিপূরণ,ক্ষতিপূরণ
708,গজব,গজব
709,ইঞ্জিনিয়ার,ইঞ্জিনিয়ারিং
710,আসন,আসন
711,কাচা,কাচা
712,অনুশীলনী,অনুশীলনী
713,তাস,তাস
714,অপকার,অপকার
715,শোয়া,শোয়া
716,চড়া,চড়া
717,অর্জুন,অর্জুন
718,রাজা,রাজা
719,উপাদান,উপাদান
720,দ্রুতবেগে,দ্রুতবেগ
721,কুমড়া,কুমড়া
722,ঝড়,ঝড়ে
723,লেক,লেখা
724,অকাল,অকাল
725,কাঠঠোকরা,কাঠঠোকরা
726,দেখা,দেখা
727,বিকাল,বিকাল
728,আলোকরশ্মি,আলোকরশ্মি
729,রম্বস,রম্বস
730,যুবক,যুবক
731,গণ্ড,গণ্ড
732,অনৈতিক,অনৈতিক
733,সবচাওয়া,সবচেয়ে
734,কাটা,কাটা
735,ঘর,ঘর
736,লোক,লোক
737,হওয়া,হওয়া
738,হায়,হায়
739,উচ্চাকাঙ্ক্ষা,উচ্চাকাঙ্ক্ষা
740,কাটা,কাটা
741,নাচা,নেচা
742,ফল,ফল
743,কবুতর,কবুতর
744,তুমি,তুমায়ক
745,অন্ধকার,অন্ধকার
746,দোষারোপ,দোষারোপ
747,বাড়ানো,বাড়ানো
748,রকম,রকম
749,অটোরিকশা,অটোরিকশা
750,তকমা,তকমা
751,পড়া,পড়া
752,লেখা,লেখা
753,বিনোদন,বিনোদন
754,অলৌকিক,অলৌকিল
755,গাইকা,গাইকা
756,কাচা,কাচা
757,পণ,পণ
758,আর্য,আর্য
759,ধ্বংস,ধ্বংস
760,আমিষ,আমিষ
761,জন,জন্য
762,তত,তত
763,অপূর্ব,অপূর্ব
764,অঙ্কুর,অঙ্কুর
765,এতিমখানা,এতিমখানা
766,বাবা,বাবা
767,শরীল,শরীল
768,উচ্ছিষ্ট,উচ্ছিষ্ট
769,তখন,তখন
770,ঠোঙা,ঠোঙা
771,মণি,মণি
772,ঠোঁট,ঠোঁট
773,আনা,আনা
774,বৃদ্ধ,বৃদ্ধ
775,টিকলি,টিকলি
776,গামলা,গামলা
777,উদ্ভিদ,উদ্ভিদ
778,চেহারা,চেহারা
779,যোগাযোগ,যোগাযোগ
780,ঋণ,ঋণ
781,তেল,তেল
782,আনন্দ,আনন্দ
783,উদ্বোধক,উদ্বোধক
784,উজাড়,উজাড়
785,অব্দ,অব্দ
786,আসবাব,আসবাব
787,আড়াই,আড়াই
788,ঠোঙা,ঠোঙা
789,অলস,অলস
790,ঘ্রান,ঘ্রান
791,অনুগত,অনুগত
792,পরিচালনা,পরিচালনা
793,পরক্ষণ,পরক্ষণ
794,খাওয়া,খাওয়া
795,যাজনিক,যাজনিক
796,গাড়িবারান্দা,গাড়িবারান্দা
797,ধর্ম,ধর্ম
798,আলো,আলোক
799,লেখা,লেখা
800,রড,রড
801,অধ্যায়,অধ্যায়
802,ব্যাখ্যা,ব্যাখ্যা
803,অদ্বৈত,অদ্বৈতচন্দ্র
804,ইরাক,ইরাক
805,জাহিল,জাহিল
806,একটানা,একটানা
807,ঘাড়,ঘাড়
808,অনাহূত,অনাহূত
809,হড়কা,হড়কা
810,ধাতু,ধাতু
811,উদ্বৃত্ত,উদ্বৃত্ত
812,আস্থাভাজন,আস্থাভাজন
813,ডাক,ডাক
814,ডাক্তার,ডাক্তার
815,সরস্বতী,সরস্বতীর
816,পলি,পলি
817,উৎকণ্ঠা,উৎকন্ঠ
818,উচ্ছ্বসিত,উচ্ছ্বসিত
819,অর্ধেক,অর্ধেকে
820,অপরিচিত,অপরিচিত
821,ফজর,ফজর
822,নিয়োগ,নিয়োগ
823,ফেরানো,ফেরানো
824,ঔষধ,ঔষধসবন
825,ব্রক্ষাউত্তর,ব্রক্ষ্মোত্তর
826,কয়েদী,কয়েদী
827,কঞ্চি,কঞ্চি
828,খোপ,খোপ
829,অধিগ্রহণ,অধিগ্রহণ
830,দেও,দা
831,ধুলোবালি,ধুলোবালি
832,অভিযান,অভিযান
833,বর্ধন,বর্ধন
834,সংক্ষুব্ধ,সংক্ষুব্ধ
835,ভিড়ভাট্টা,ভিড়ভাট্টা
836,আত্মশুদ্ধি,আত্মশুদ্ধি
837,খেজুর,খেজুর
838,অন্তর্বাস,অন্তর্বাস
839,ঘটা,ঘটা
840,আবর্জনা,আবর্জনা
841,পারা,পারা
842,আত্তীকরণ,আত্তীকরণ
843,ঔষধি,ঔষধিগুণ
844,তীর,তীর
845,মেধাবী,মেধাবী
846,অধীন,অধীন
847,অবাধ,অবাধ
848,অপচেষ্টা,অপচেষ্টা
849,ঘৃণ্য,ঘৃণ্যকাজ
850,আলোকচিত্র,আলোকচিত্র
851,ফসল,ফসল
852,বেটা,বেটা
853,আপাত,আপাত
854,শিল্পী,শিল্পী
855,কাচা,কাচা
856,নেওয়া,নেওয়া
857,স্বামী,স্বামী
858,অমত,অমত
859,আখের,আখের
860,কাছ,কাছ
861,যাওয়া,যাওয়া
862,কলা,কলা
863,সত্যবাদী,সত্যবাদী
864,কাচা,কাচা
865,গবেষক,গবেষক
866,ঘটা,ঘটি
867,আমল,আমল
868,খাল,খাল
869,রাত,রাত
870,ঘটা,ঘটা
871,পত্রখান,পত্রখান
872,টউশনি,টউশনি
873,জাত,জাতীয়
874,বাস্তব,বাস্তব
875,বসা,বসা
876,রাসায়নিক,রাসায়নিক
877,দাঁড়া,দাঁড়া
878,গর্ত,গর্ত
