sentence_main,sentence_lemma
ইরানই পারে,ইরান পারা
পারে অসূর্যস্পশ্যরূপা,পারা সূর্যস্পশ্যরূপ
অসূর্যস্পশ্যরূপা আমটা,সূর্যস্পশ্যরূপ আম
আমটা ওঠার,আম ওঠা
ওঠার ফিরাইতে,ওঠা ফেরানো
ফিরাইতে যুবকদের,ফেরানো যুবক
যুবকদের বহুবিধ,যুবক বহুবিধ
বহুবিধ কৃতসংকল্প,বহুবিধ কৃতসংকল্প
কৃতসংকল্প চিনির,কৃতসংকল্প চিনি
চিনির বসিতেছিলি,চিনি বসা
বসিতেছিলি জুতার,বসা জুতা
জুতার অবশিষ্টগুলো,জুতা অবশিষ্ট
অবশিষ্টগুলো শকুনই,অবশিষ্ট শকুন
শকুনই একশবার,শকুন একশ
একশবার নিদারুণ,একশ দারুণ
নিদারুণ শিশিবোতল,দারুণ শিশিবোতল
শিশিবোতল এঁদেরই,শিশিবোতল তিনি
এঁদেরই চাঁদনীতে,তিনি চাঁদনী
চাঁদনীতে তুলিকে,চাঁদনী তুলি
তুলিকে ঝাড়াত,তুলি ঝাড়
ঝাড়াত কেঁচোকে,ঝাড় কেঁচো
কেঁচোকে একপার্শ্বে,কেঁচো একপার্শ্ব
একপার্শ্বে ঢোলকে,একপার্শ্ব ঢোল
ঢোলকে অকর্মার,ঢোল অকর্ম
অকর্মার কর্ত্রীর,অকর্ম কর্ত্রী
কর্ত্রীর গতরাত্রে,কর্ত্রী গতরাত্র
গতরাত্রে বাক্যর,গতরাত্র বাক্য
বাক্যর খালার,বাক্য খালা
খালার উদ্বিগ্নও,খালা উদ্বিগ্ন
উদ্বিগ্নও আত্মরক্ষার্থে,উদ্বিগ্ন আত্মরক্ষা
আত্মরক্ষার্থে জায়গার,আত্মরক্ষা জায়গা
জায়গার সদস্যদের,জায়গা সদস্য
সদস্যদের আটকাতে,সদস্য আটকানো
আটকাতে পুড়িয়েছে,আটকানো পোড়ানো
পুড়িয়েছে ছালটটি,পোড়ানো ছালট
ছালটটি শীতের,ছালট শীত
শীতের জমিনে,শীত জমি
জমিনে আত্মসম্মানেই,জমি আত্মসম্মান
আত্মসম্মানেই মর্মেই,আত্মসম্মান মর্ম
মর্মেই অয়ন,মর্ম অয়ন
অয়ন কাসুন্দি,অয়ন কাসুন্দি
কাসুন্দি প্রকার,কাসুন্দি প্রকার
প্রকার অপূর্ব,প্রকার অপূর্ব
অপূর্ব হটকেছিলো,অপূর্ব হটকানো
হটকেছিলো নাপিতই,হটকানো নাপিত
নাপিতই লিখিস,নাপিত লেখা
লিখিস পাত্রীপক্ষকে,লেখা পাত্র্রী
পাত্রীপক্ষকে উল্টোটা,পাত্র্রী উল্টো
উল্টোটা অযৌক্তিকও,উল্টো অযৌক্তিক
অযৌক্তিকও দেখানো,অযৌক্তিক দেখা
দেখানো উত্সাহই,দেখা উত্সাহ
উত্সাহই অধীরকে,উত্সাহ অধীর
অধীরকে গাভলাই,অধীর গাভলা
গাভলাই আড়ম্বরে,গাভলা আড়ম্বর
আড়ম্বরে গায়কের,আড়ম্বর গায়ক
গায়কের অচেতনও,গায়ক অচেতন
অচেতনও শিরোধার্য,অচেতন শিরোধার্য
শিরোধার্য কবিরাজরা,শিরোধার্য কবিরাজ
কবিরাজরা ঢেঁকির,কবিরাজ ঢেঁকি
ঢেঁকির অগ্নিসংযোগসহ,ঢেঁকি অগ্নিসংযোগ
অগ্নিসংযোগসহ অলিগলিই,অগ্নিসংযোগ অলিগলি
অলিগলিই বাতিকে,অলিগলি বাতি
বাতিকে বন্টনের,বাতি বন্টন
বন্টনের দেওয়াব,বন্টন দেওয়া
দেওয়াব বাড়িয়ে,দেওয়া বাড়ানো
বাড়িয়ে ওধার,বাড়ানো ওধার
ওধার জরিপটা,ওধার জরিপ
জরিপটা সবদিক,জরিপ সবদিক
সবদিক জানান,সবদিক জানা
জানান বাপমায়ের,জানা বাপমা
বাপমায়ের দৌড়েছিলে,বাপমা দৌড়
দৌড়েছিলে বসাই,দৌড় বসা
বসাই মাদুরকে,বসা মাদুর
মাদুরকে আবহসংগীতও,মাদুর আবহসংগীত
আবহসংগীতও যুক্তির,আবহসংগীত যুক্তি
যুক্তির উপদ্বীপ,যুক্তি উপদ্বীপ
উপদ্বীপ ওষুধই,উপদ্বীপ ওষুধ
ওষুধই ইঞ্চিতে,ওষুধ ইঞ্চি
ইঞ্চিতে অনুচ্চতা,ইঞ্চি অনুচ্চ
অনুচ্চতা অক্ষরেখাই,অনুচ্চ অক্ষরেখা
অক্ষরেখাই প্রণাম,অক্ষরেখা প্রণাম
প্রণাম পথিকের,প্রণাম পথিক
পথিকের অনুক্রমের,পথিক অনুক্রম
অনুক্রমের আক্ষেপটা,অনুক্রম আক্ষেপ
আক্ষেপটা ঘনঘন,আক্ষেপ ঘনঘন
ঘনঘন গণই,ঘনঘন গণ
গণই পিসিমা,গণ পিসিমা
পিসিমা অন্নকণা,পিসিমা অন্ন
অন্নকণা গর্ভপাতের,অন্ন গর্ভ
গর্ভপাতের চলমান,গর্ভ চলা
চলমান কাটুক,চলা কাটা
কাটুক কর্মীদের,কাটা কর্মী
কর্মীদের কলেরা,কর্মী কলেরা
কলেরা সেদিন,কলেরা সেদিন
সেদিন অভিমুখকে,সেদিন অভিমুখ
অভিমুখকে ঘৃত,অভিমুখ ঘৃত
ঘৃত আধ্যাত্মিকতায়,ঘৃত আধ্যাত্মিক
আধ্যাত্মিকতায় ভ্রমণসঙ্গীরা,আধ্যাত্মিক ভ্রমণসঙ্গী
ভ্রমণসঙ্গীরা আষঢ়,ভ্রমণসঙ্গী আষঢ়
আষঢ় অনির্দিষ্টকালের,আষঢ় অনির্দিষ্ট
অনির্দিষ্টকালের ভিজিতেছে,অনির্দিষ্ট ভেজা
ভিজিতেছে আক্রমণকারী,ভেজা আক্রমণ
আক্রমণকারী নতিতে,আক্রমণ নতি
নতিতে জনপদে,নতি জনপদ
জনপদে ব্যবসা,জনপদ ব্যবসা
ব্যবসা পরিত্যাগ,ব্যবসা পরিত্যাগ
পরিত্যাগ মন্দার,পরিত্যাগ মন্দার
মন্দার নাকটা,মন্দার নাক
নাকটা আলোড়নকারী,নাক আলোড়ন
আলোড়নকারী জাহিলটাকে,আলোড়ন জাহিল
জাহিলটাকে অনুজ্ঞাত,জাহিল অনুজ্ঞা
অনুজ্ঞাত ফকিরের,অনুজ্ঞা ফকির
ফকিরের অর্ণবসহ,ফকির অর্ণব
অর্ণবসহ কণিকাগুচ্ছের,অর্ণব কণিকা
কণিকাগুচ্ছের যোগ্যতাসম্পন্ন,কণিকা যোগ্য
যোগ্যতাসম্পন্ন মহিষবাহন,যোগ্য মহিষ
মহিষবাহন আড়ম্বরতা,মহিষ আড়ম্বর
আড়ম্বরতা শুনিতে,আড়ম্বর শোনা
শুনিতে উত্তমভাবে,শোনা উত্তম
উত্তমভাবে কাটতেন,উত্তম কাটা
কাটতেন ধমকালে,কাটা ধমক
ধমকালে কাটিয়েছিলি,ধমক কাটা
কাটিয়েছিলি প্রায়,কাটা প্রায়
প্রায় যাইতেছিল,প্রায় যাওয়া
যাইতেছিল ঘাটের,যাওয়া ঘাট
ঘাটের কাঁদবো,ঘাট কাঁদা
কাঁদবো ল্যাবরেটরিতে,কাঁদা ল্যাবরেটরি
ল্যাবরেটরিতে সৃষ্টিসুখ,ল্যাবরেটরি সৃষ্টি
সৃষ্টিসুখ অপরিণামদর্শিতা,সৃষ্টি অপরিণত
অপরিণামদর্শিতা বেগুনের,অপরিণত বেগুন
বেগুনের উন্মুক্তভাবে,বেগুন উন্মুক্ত
উন্মুক্তভাবে খটখটে,উন্মুক্ত খটখট
খটখটে ইহকালীন,খটখট ইহকাল
ইহকালীন রমজানকে,ইহকাল রমজান
রমজানকে এককথায়,রমজান এককথা
এককথায় একনিষ্ঠতাই,এককথা একনিষ্ঠ
একনিষ্ঠতাই পল্লীর,একনিষ্ঠ পল্লী
পল্লীর জামাটার,পল্লী জামা
জামাটার জো,জামা জো
জো ঐতিহ্যই,জো ঐতিহ্য
ঐতিহ্যই বা,ঐতিহ্য বা
বা অভাগী,বা অভাগী
অভাগী আলোকেও,অভাগী আলোক
আলোকেও অবিচলিত,আলোক বিচলিত
অবিচলিত আমিই,বিচলিত আমি
আমিই সহসা,আমি সহসা
সহসা লাগলে,সহসা লাগা
লাগলে বেলুনটা,লাগা বেলুন
বেলুনটা একচোটেই,বেলুন একচোট
একচোটেই টউশনিটা,একচোট টউশনি
টউশনিটা বারংবার,টউশনি বারবার
বারংবার মিষ্টিগুলি,বারবার মিষ্টি
মিষ্টিগুলি জংশনে,মিষ্টি জংশন
জংশনে দাদা,জংশন দাদা
দাদা দেখে,দাদা দেখা
দেখে অভিজ্ঞতাগুলো,দেখা অভিজ্ঞতা
অভিজ্ঞতাগুলো আস্থাভাজনদেরই,অভিজ্ঞতা আস্থাভাজন
আস্থাভাজনদেরই আত্মকেন্দ্রিক,আস্থাভাজন আত্মকেন্দ্রিক
আত্মকেন্দ্রিক অবস্থারই,আত্মকেন্দ্রিক অবস্থান
অবস্থারই ধাতুরই,অবস্থান ধাতু
ধাতুরই পাইলেন,ধাতু পাওয়া
পাইলেন অনামিকাকে,পাওয়া অনামিকা
অনামিকাকে দিকটি,অনামিকা দিক
দিকটি নিরপেক্ষ,দিক নিরপেক্ষ
নিরপেক্ষ অনভ্যাস,নিরপেক্ষ অনভ্যাস
অনভ্যাস স্কুলে,অনভ্যাস স্কুল
স্কুলে গুণগান,স্কুল গুণগান
গুণগান কামানকে,গুণগান কামান
কামানকে ধোকার,কামান ধোকা
ধোকার উপভাষাটিকে,ধোকা উপভাষা
উপভাষাটিকে সদয়,উপভাষা সদয়
সদয় বেতন,সদয় বেতন
বেতন অতৃপ্ত,বেতন অতৃপ্ত
অতৃপ্ত গৃহে,অতৃপ্ত গৃহ
গৃহে পাপী,গৃহ পাপী
পাপী তাহারই,পাপী সে
তাহারই কালিমা,সে কালিমা
কালিমা আতঙ্কজনক,কালিমা আতঙ্ক
আতঙ্কজনক উপদল,আতঙ্ক উপদল
উপদল খাঁচাটি,উপদল খাঁচা
খাঁচাটি উৎপাদনটা,খাঁচা উৎপাদন
উৎপাদনটা দান,উৎপাদন দান
দান কৃষকদের,দান কৃষক
কৃষকদের ট্যাঁকে,কৃষক ট্যাঁক
ট্যাঁকে যত্নে,ট্যাঁক যত্ন
যত্নে কাছের,যত্ন কাছে
কাছের সৌদি,কাছে সৌদি
সৌদি অভ্রর,সৌদি অভ্র
অভ্রর মরিচই,অভ্র মরিচ
মরিচই খালাকে,মরিচ খালা
খালাকে বাদেও,খালা বাদে
বাদেও উচাই,বাদে উচা
উচাই নিউইয়ার,উচা নিউইয়ার
নিউইয়ার নিষ্ফলের,নিউইয়ার নিষ্ফল
নিষ্ফলের দরকারে,নিষ্ফল দরকার
দরকারে এযাবৎকালে,দরকার এযাবৎ
এযাবৎকালে আংটিও,এযাবৎ আংটি
আংটিও পেয়েছে,আংটি পাওয়া
পেয়েছে অনির্দিষ্টকালে,পাওয়া অনির্দিষ্ট
অনির্দিষ্টকালে অপমৃত্যু,অনির্দিষ্ট অপমৃত্যু
অপমৃত্যু গিয়াছে,অপমৃত্যু যাওয়া
গিয়াছে গর্ভধারণকে,যাওয়া গর্ভধারণ
গর্ভধারণকে দোষানো,গর্ভধারণ দোষ
দোষানো পাইপের,দোষ পাইপ
পাইপের সারিটা,পাইপ সারি
সারিটা মালিকদের,সারি মালিক
মালিকদের আলোকচিত্রী,মালিক আলোকচিত্রী
আলোকচিত্রী ধমকাত,আলোকচিত্রী ধমক
ধমকাত কামনাই,ধমক কামনা
কামনাই ইতিউতি,কামনা ইতি
ইতিউতি ধ্রুবনক্ষত্র,ইতি ধ্রুবনক্ষত্র
ধ্রুবনক্ষত্র মাফিন,ধ্রুবনক্ষত্র মাফিন
মাফিন অপরিহার্যতাকেই,মাফিন অপরিহার্য
অপরিহার্যতাকেই বলা,অপরিহার্য বলা
বলা ফস্কা,বলা ফস্কা
ফস্কা ওয়াইন,ফস্কা ওয়াইন
ওয়াইন অন্ত্যেষ্টিক্রিয়ার,ওয়াইন অন্ত্যেষ্টি
অন্ত্যেষ্টিক্রিয়ার কাচাচ্ছিল,অন্ত্যেষ্টি কাচা
কাচাচ্ছিল অলংকারকের,কাচা অলংকার
অলংকারকের গালটা,অলংকার গাল
গালটা ঢালু,গাল ঢালু
ঢালু প্রস্তুতকৃত,ঢালু প্রস্তুত
প্রস্তুতকৃত তারকাঁটাটা,প্রস্তুত তারকাঁটা
তারকাঁটাটা বিবেককে,তারকাঁটা বিবেক
বিবেককে সেবামূলক,বিবেক সেবামূল
সেবামূলক আগ্রহীদের,সেবামূল আগ্রহী
আগ্রহীদের ফেলা,আগ্রহী ফেলা
ফেলা ঘাতককে,ফেলা ঘাতক
ঘাতককে গর্জনটা,ঘাতক গর্জন
গর্জনটা হাতড়াচ্ছে,গর্জন হাতড়ানো
হাতড়াচ্ছে সাজি,হাতড়ানো সাজ
সাজি অনভিজ্ঞতাই,সাজ অনভিজ্ঞ
অনভিজ্ঞতাই প্রভুতে,অনভিজ্ঞ প্রভু
প্রভুতে শীশাটা,প্রভু শীশা
শীশাটা অর্ধাঙ্গিনী,শীশা অর্ধাঙ্গ
অর্ধাঙ্গিনী দৌড়াইতে,অর্ধাঙ্গ দৌড়
দৌড়াইতে আত্মীয়তার,দৌড় আত্মীয়তা
আত্মীয়তার জড়ত্ব,আত্মীয়তা জড়ত্ব
জড়ত্ব অভ্যন্তরীণভাবে,জড়ত্ব অভ্যন্তর
অভ্যন্তরীণভাবে বাঁশটা,অভ্যন্তর বাঁশ
বাঁশটা বজ্রটার,বাঁশ বজ্র
বজ্রটার ময়ূরটা,বজ্র ময়ূর
ময়ূরটা অশ্বত্থবৃক্ষের,ময়ূর অশ্বত্থবৃক্ষ
অশ্বত্থবৃক্ষের সাধানো,অশ্বত্থবৃক্ষ সাধা
সাধানো মিটারুর,সাধা মিটার
মিটারুর বিপিনের,মিটার বিপিনে
বিপিনের গিয়েছ,বিপিনে যাওয়া
গিয়েছ শিঙাড়াগুলোর,যাওয়া শিঙাড়া
শিঙাড়াগুলোর অবনীতল,শিঙাড়া অবনী
অবনীতল ইসলামে,অবনী ইসলাম
ইসলামে হীরক,ইসলাম হীরা
হীরক আঁতুড়ঘরের,হীরা আঁতুড়ঘর
আঁতুড়ঘরের ইমাম,আঁতুড়ঘর ইমাম
ইমাম বড়োবাজারে,ইমাম বড়োবাজার
বড়োবাজারে মানভূম,বড়োবাজার মানভূম
মানভূম তালিকা,মানভূম তালিকা
তালিকা ঠিকা,তালিকা ঠিকা
ঠিকা আত্মঘাতী,ঠিকা আত্মঘাত
আত্মঘাতী বানরটা,আত্মঘাত বানর
বানরটা বলাল,বানর বলা
বলাল কোটি,বলা কোটি
কোটি বেনামি,কোটি বেনাম
বেনামি দাঁড়াশটা,বেনাম দাঁড়াশ
দাঁড়াশটা মিটতে,দাঁড়াশ মেটা
মিটতে আকাশের,মেটা আকাশ
আকাশের গঠন,আকাশ গঠন
গঠন এলাহী,গঠন এলাহী
এলাহী কৌতুকহাস্যে,এলাহী কৌতুকহাস্য
কৌতুকহাস্যে দ্বারীরা,কৌতুকহাস্য দ্বারী
দ্বারীরা বসন্তকুমারী,দ্বারী কুমার
বসন্তকুমারী কষ্টিপাথর,কুমার কষ্টিপাথর
কষ্টিপাথর খারাপ,কষ্টিপাথর খারাপ
খারাপ আবদারটা,খারাপ আবদার
আবদারটা শরীরটা,আবদার শরীর
শরীরটা অভাগারা,শরীর অভাগা
অভাগারা অবরোধও,অভাগা অবরোধ
অবরোধও কাচিবে,অবরোধ কাচা
কাচিবে বিরুদ্ধেই,কাচা বিরুদ্ধ
বিরুদ্ধেই বিশুদ্ধানন্দ,বিরুদ্ধ বিশুদ্ধআনন্দ
বিশুদ্ধানন্দ শিকারে,বিশুদ্ধআনন্দ শিকার
শিকারে বনকর্মীরা,শিকার বনকর্মী
বনকর্মীরা ডাক্তার,বনকর্মী ডাক্তার
ডাক্তার খোঁচাইও,ডাক্তার খোঁচা
খোঁচাইও পীড়াই,খোঁচা পীড়া
পীড়াই হত্যা,পীড়া হত্যা
হত্যা লজ্জাজনক,হত্যা লজ্জা
লজ্জাজনক অনুশীলনীর,লজ্জা অনুশীলনী
অনুশীলনীর যান,অনুশীলনী যাওয়া
যান আয়তক্ষেত্রও,যাওয়া আয়ত
আয়তক্ষেত্রও ওঝাগিরি,আয়ত ওঝা
ওঝাগিরি করাবি,ওঝা করা
করাবি বাপান্ত,করা বাপঅন্ত
বাপান্ত গজল,বাপঅন্ত গজল
গজল নাচল,গজল নাচ
নাচল অবাধ্যতাকে,নাচ অবাধ্য
অবাধ্যতাকে দিঘি,অবাধ্য দিঘি
দিঘি পশ্চিমে,দিঘি পশ্চিম
পশ্চিমে করিয়া,পশ্চিম করা
করিয়া লজ্জা,করা লজ্জা
লজ্জা কংশতে,লজ্জা কংশ
কংশতে পবন,কংশ পবন
পবন রাম,পবন রাম
রাম বোমটি,রাম বোম
বোমটি আলোক,বোম আলো
আলোক আত্মশুদ্ধিরও,আলো আত্মশুদ্ধি
আত্মশুদ্ধিরও উত্তরাধিকারকে,আত্মশুদ্ধি উত্তরাধিকার
উত্তরাধিকারকে অক্ষমতাজনিত,উত্তরাধিকার অক্ষম
অক্ষমতাজনিত জয়গান,অক্ষম জয়গান
জয়গান খ্যাপাইতেন,জয়গান খ্যাপা
খ্যাপাইতেন চুক্তির,খ্যাপা চুক্তি
চুক্তির কোকিললের,চুক্তি কোকিল
কোকিললের একটানাভাবে,কোকিল একটানা
একটানাভাবে দংশকদের,একটানা দংশক
দংশকদের বুদ্ধি,দংশক বুদ্ধি
বুদ্ধি নিমন্ত্রণ,বুদ্ধি নিমন্ত্রণ
নিমন্ত্রণ চলিতেই,নিমন্ত্রণ চলা
চলিতেই অপ্সরা,চলা অপ্সরা
অপ্সরা অনুকূলকে,অপ্সরা অনুকূল
অনুকূলকে ধরিয়াই,অনুকূল ধরিয়া
ধরিয়াই বেরতে,ধরিয়া বেরানো
বেরতে কেবিনে,বেরানো কেবিন
কেবিনে অপ্রস্তুত,কেবিন অপ্রস্তুত
অপ্রস্তুত গিরিপথ,অপ্রস্তুত গিরিপথ
গিরিপথ সাম্প্রতিক,গিরিপথ সম্প্রতি
সাম্প্রতিক কাঙ্গালকে,সম্প্রতি কাঙ্গাল
কাঙ্গালকে পথের,কাঙ্গাল পথ
পথের বিভ্রান্তর,পথ বিভ্রান্ত
বিভ্রান্তর শিরার,বিভ্রান্ত শিরা
শিরার আর্মড,শিরা আর্মড
আর্মড ছানা,আর্মড ছানা
ছানা ছড়ায়,ছানা ছায়া
ছড়ায় যুক্তিটিকে,ছায়া যুক্তি
যুক্তিটিকে ঢলে,যুক্তি ঢলা
ঢলে আশপাশও,ঢলা আশপাশ
আশপাশও শতকটা,আশপাশ শতক
শতকটা আঠাকাটি,শতক আঠা
আঠাকাটি অনুসরণকারী,আঠা অনুসরণ
অনুসরণকারী আলোচনায়,অনুসরণ আলোচনা
আলোচনায় দেবীই,আলোচনা দেবী
দেবীই স্বজনেরা,দেবী স্বজন
স্বজনেরা বাগ,স্বজন বাগ
বাগ হারে,বাগ হার
হারে নিকটে,হার নিকট
নিকটে আধুনিকতর,নিকট আধুনিক
আধুনিকতর এপার,আধুনিক এপার
এপার অনুধ্যানেরই,এপার অনুধ্যান
অনুধ্যানেরই ইফতারি,অনুধ্যান ইফতার
ইফতারি জিরাফটি,ইফতার জিরাফ
জিরাফটি টিপই,জিরাফ টিপ
টিপই ঘোষণাকে,টিপ ঘোষণা
ঘোষণাকে ক্ষমা,ঘোষণা ক্ষমা
ক্ষমা কাছেও,ক্ষমা কাছে
কাছেও ছাত্রগুলা,কাছে ছাত্র
ছাত্রগুলা নীচে,ছাত্র নীচ
নীচে অনুসারী,নীচ অনুসারী
অনুসারী উপকারী,অনুসারী উপকারী
উপকারী যন্ত্রণাকে,উপকারী যন্ত্রণা
যন্ত্রণাকে ত্রুটিবিচ্যুতি,যন্ত্রণা ত্রুটি
ত্রুটিবিচ্যুতি অন্তর্ঘাতের,ত্রুটি অন্তর্ঘাত
অন্তর্ঘাতের ফাল্গুন,অন্তর্ঘাত ফাল্গুন
ফাল্গুন স্বচ্ছ,ফাল্গুন স্বচ্ছ
স্বচ্ছ গণকেরা,স্বচ্ছ গণক
গণকেরা অর্ডারই,গণক অর্ডার
অর্ডারই ইচ্ছাই,অর্ডার ইচ্ছা
ইচ্ছাই নিখিলজগতের,ইচ্ছা নিখিলজগত
নিখিলজগতের উচ্ছৃঙ্খলতার,নিখিলজগত উচ্ছৃঙ্খল
উচ্ছৃঙ্খলতার আঙুলও,উচ্ছৃঙ্খল আঙুল
আঙুলও বৈঠকে,আঙুল বৈঠক
বৈঠকে কলমকে,বৈঠক কলম
কলমকে ডাইনোসরে,কলম ডাইনোসর
ডাইনোসরে মিষ্টিপ্রিয়,ডাইনোসর মিষ্টিপ্রিয়
মিষ্টিপ্রিয় অভিজাততন্ত্রের,মিষ্টিপ্রিয় অভিজাত
অভিজাততন্ত্রের তখনও,অভিজাত তখন
তখনও দন্ডাঘাত,তখন দন্ডআঘাত
দন্ডাঘাত অমানুষিকতা,দন্ডআঘাত অমানুষ
অমানুষিকতা হস্ত,অমানুষ হস্ত
হস্ত বিনোদনই,হস্ত বিনোদন
বিনোদনই আস্তানাকে,বিনোদন আস্তানা
আস্তানাকে পিছাক,আস্তানা পিছন
পিছাক পঞ্চাশের,পিছন পঞ্চাশ
পঞ্চাশের ইহসংসার,পঞ্চাশ ইহসংসার
ইহসংসার অধিবেশনকক্ষের,ইহসংসার অধিবেশন
অধিবেশনকক্ষের ঘুলাই,অধিবেশন ঘুলা
ঘুলাই করছিলুম,ঘুলা করা
করছিলুম অগ্নিপরীক্ষা,করা অগ্নিপরীক্ষা
অগ্নিপরীক্ষা সসংজ্ঞ,অগ্নিপরীক্ষা সংজ্ঞা
সসংজ্ঞ গজলের,সংজ্ঞা গজল
গজলের উপভোগ্যময়,গজল উপভোগ্য
উপভোগ্যময় কাচিতেছিল,উপভোগ্য কাচা
কাচিতেছিল আন্তর্জাতিকতায়,কাচা আন্তর্জাতিক
আন্তর্জাতিকতায় অংশগ্রহণও,আন্তর্জাতিক অংশ
অংশগ্রহণও ধরতে,অংশ ধরা
ধরতে উদীচীতে,ধরা উদীচী
উদীচীতে বসন্তসমাগম,উদীচী বসন্তসমাগম
বসন্তসমাগম চায়,বসন্তসমাগম চাওয়া
চায় গেছো,চাওয়া যাওয়া
গেছো খাইতেছিলি,যাওয়া খাওয়া
খাইতেছিলি পল্লীবাসী,খাওয়া পল্লীবাসী
পল্লীবাসী পরস্পরের,পল্লীবাসী পরস্পর
পরস্পরের ছলছলাইয়া,পরস্পর ছলছল
ছলছলাইয়া বোনরই,ছলছল বোন
বোনরই গোসল,বোন গোসল
গোসল উপত্যকাগুলো,গোসল উপত্যকা
উপত্যকাগুলো কড়মড়ে,উপত্যকা কড়মড়
কড়মড়ে বিবাহাদি,কড়মড় বিবাহ
বিবাহাদি দংশকদেরকে,বিবাহ দংশক
দংশকদেরকে সম্ভবত,দংশক সম্ভাবনা
সম্ভবত সেখানের,সম্ভাবনা সেখানে
সেখানের আঁচলটি,সেখানে আঁচল
আঁচলটি অক্ষর,আঁচল অক্ষর
অক্ষর গিন্নীপনা,অক্ষর গিন্নী
গিন্নীপনা গাড়িতে,গিন্নী গাড়ি
গাড়িতে সমাজব্যবস্থা,গাড়ি সমাজব্যবস্থা
সমাজব্যবস্থা অঘটনগুলোর,সমাজব্যবস্থা অঘটন
অঘটনগুলোর এলেই,অঘটন আসা
এলেই সাপটা,আসা সাপ
সাপটা বাহুতে,সাপ বাহু
বাহুতে অবিলম্ব,বাহু অবিলম্ব
অবিলম্ব ওরাল,অবিলম্ব ওরানো
ওরাল খাবেন,ওরানো খাওয়া
খাবেন স্ট্রিটে,খাওয়া স্ট্রিট
স্ট্রিটে যাবত,স্ট্রিট যাওয়া
যাবত কাশি,যাওয়া কাশি
কাশি আসমানভরা,কাশি আসমান
আসমানভরা হাপরেছিলাম,আসমান হাপরানো
হাপরেছিলাম অভাগিনীগণ,হাপরানো অভাগী
অভাগিনীগণ কাটায়,অভাগী কাটা
কাটায় লটকলের,কাটা লটকল
লটকলের অভিযাত্রীও,লটকল অভিযাত্রী
অভিযাত্রীও নিস্তারিণী,অভিযাত্রী নিস্তারিণী
নিস্তারিণী ওজনকারী,নিস্তারিণী ওজন
ওজনকারী বেয়াদবি,ওজন বেয়াদব
বেয়াদবি ভৃত্যের,বেয়াদব ভৃত্য
ভৃত্যের অধীনেতে,ভৃত্য অধীনে
অধীনেতে নামের,অধীনে নাম
নামের ষাঁড়,নাম ষাঁড়
ষাঁড় জমিটি,ষাঁড় জমি
জমিটি কচুর,জমি কচু
